Job title,Age,Industry,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
research and instruction librarian,25-34,education (higher education),55000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
marketing specialist,25-34,"accounting, banking & finance",34000.0,United States,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
program manager,25-34,nonprofits,65000.0,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
accounting manager,25-34,"accounting, banking & finance",67000.0,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
librarian,25-34,education (primary/secondary),50000.0,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
systems analyst,45-54,computing or tech,122000.0,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
senior accountant,35-44,"accounting, banking & finance",45000.0,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
office manager,25-34,nonprofits,47500.0,United States,Other,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
patient care coordinator,18-24,health care,23948.204184556667,Canada,Other,Remote,1 year or less,1 year or less,College degree,Woman,White
quality and compliance specialist,35-44,utilities & telecommunications,30443.06518959411,United Kingdom,Other,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
executive assistant,35-44,business or consulting,90000.0,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
graphic designer,45-54,art & design,59000.0,United States,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
senior manager,35-44,business or consulting,99000.0,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
assistant director of academic advising,35-44,education (higher education),54000.0,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
event planner,35-44,nonprofits,47148.02698834594,Canada,Other,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
researcher,35-44,government and public administration,97000.0,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
communications specialist,35-44,education (higher education),60000.0,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
