Job title,Age,Industry,Salary,Bonus,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
research and instruction librarian,25-34,education (higher education),55000.0,0.0,55000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
marketing specialist,25-34,"accounting, banking & finance",34000.0,0.0,34000.0,United States,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
program manager,25-34,nonprofits,62000.0,3000.0,65000.0,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
accounting manager,25-34,"accounting, banking & finance",60000.0,7000.0,67000.0,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
scholarly publishing librarian,25-34,education (higher education),62000.0,0.0,62000.0,United States,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
publishing assistant,25-34,publishing,33000.0,2000.0,35000.0,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
librarian,25-34,education (primary/secondary),50000.0,0.0,50000.0,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
systems analyst,45-54,computing or tech,112000.0,10000.0,122000.0,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
senior accountant,35-44,"accounting, banking & finance",45000.0,0.0,45000.0,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
office manager,25-34,nonprofits,47500.0,0.0,47500.0,United States,Other,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
deputy title ix coordinator/ assistant director office of equity and diversity,35-44,education (higher education),62000.0,0.0,62000.0,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
manager of information services,35-44,"accounting, banking & finance",100000.0,0.0,100000.0,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
patient care coordinator,18-24,health care,32000.0,0.0,23948.204184556667,Canada,Other,Remote,1 year or less,1 year or less,College degree,Woman,White
quality and compliance specialist,35-44,utilities & telecommunications,24000.0,500.0,30443.06518959411,United Kingdom,Other,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
executive assistant,35-44,business or consulting,85000.0,5000.0,90000.0,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
graphic designer,45-54,art & design,59000.0,0.0,59000.0,United States,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
senior manager,35-44,business or consulting,98000.0,1000.0,99000.0,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
assistant director of academic advising,35-44,education (higher education),54000.0,0.0,54000.0,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
data programmer analyst,25-34,health care,74000.0,0.0,74000.0,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
program coordinator & assistant editor ,35-44,nonprofits,50000.0,0.0,50000.0,United States,Other,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
event planner,35-44,nonprofits,63000.0,0.0,47148.02698834594,Canada,Other,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
researcher,35-44,government and public administration,96000.0,1000.0,97000.0,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
communications specialist,35-44,education (higher education),60000.0,0.0,60000.0,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
program director,25-34,nonprofits,62000.0,0.0,62000.0,United States,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
bookkeeper/billing manager,35-44,law,48000.0,4000.0,52000.0,United States,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
economist,35-44,government and public administration,140000.0,0.0,140000.0,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
research engineer,25-34,engineering or manufacturing,80000.0,0.0,80000.0,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
volunteer and giving coordinator,25-34,nonprofits,39000.0,0.0,39000.0,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
editor,35-44,media & digital,125000.0,0.0,125000.0,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
financial advisor,25-34,"accounting, banking & finance",230000.0,0.0,230000.0,United States,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
accounting manager,35-44,"accounting, banking & finance",110000.0,15000.0,125000.0,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
administrative and hr manager,25-34,nonprofits,50000.0,0.0,50000.0,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
senior irb analyst,35-44,education (higher education),68000.0,0.0,68000.0,United States,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
reporter,18-24,media & digital,41000.0,100.0,41100.0,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
senior administrator ,25-34,"accounting, banking & finance",76000.0,10000.0,86000.0,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
staff services manager ii,35-44,government and public administration,78000.0,0.0,78000.0,United States,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
receptionist,25-34,"accounting, banking & finance",37000.0,0.0,37000.0,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
lead engineer,45-54,engineering or manufacturing,100000.0,50000.0,150000.0,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
senior copywriter,35-44,"marketing, advertising & pr",35000.0,6000.0,50945.53766421871,United Kingdom,Other,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
manager of data integrity and prospect research,25-34,government and public administration,65000.0,0.0,65000.0,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
principal software engineer,25-34,computing or tech,187500.0,5000.0,192500.0,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
intelligence analyst,25-34,computing or tech,110000.0,20000.0,130000.0,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
project manager,25-34,nonprofits,66625.0,1500.0,68125.0,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
mobile developer,35-44,computing or tech,144600.0,2500.0,147100.0,United States,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
product design director,35-44,computing or tech,200850.0,40000.0,240850.0,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
engineering specialist,25-34,engineering or manufacturing,120000.0,1500.0,90928.3377632386,Canada,Other,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
"manager, total rewards",25-34,retail,97500.0,10000.0,80450.99843249506,Canada,Other,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
research and development engineer 3,35-44,education (higher education),96000.0,0.0,96000.0,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
science teacher (public high school),25-34,education (primary/secondary),53000.0,1000.0,54000.0,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
"senior manager, programmatic",25-34,"marketing, advertising & pr",95000.0,10000.0,105000.0,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
managed services sales coordinator,35-44,computing or tech,72000.0,3000.0,75000.0,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
editor,35-44,media & digital,52000.0,0.0,38915.83179990459,Canada,Other,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
water resources engineer,35-44,engineering or manufacturing,106000.0,0.0,106000.0,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
program officer,25-34,government and public administration,115000.0,0.0,115000.0,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
account supervisor,25-34,business or consulting,100500.0,3000.0,103500.0,United States,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
legal secretary,25-34,law,33200.0,0.0,33200.0,United States,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
policy lead,35-44,government and public administration,52000.0,0.0,64613.85264730178,United Kingdom,Other,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
coordinator,25-34,education (higher education),52000.0,0.0,52000.0,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
senior advisor,25-34,government and public administration,79000.0,0.0,59122.129080624276,Canada,Other,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
safety director,65 or over,property or construction,104000.0,25000.0,129000.0,United States,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
secondary school educator,25-34,education (primary/secondary),75000.0,0.0,56128.60355755469,Canada,Other,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
downstream process development research associate i,18-24,biotechnology,52000.0,0.0,52000.0,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
"manager, natural climate solutions development",25-34,nonprofits,84000.0,8400.0,92400.0,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
ar manager,35-44,health care,53000.0,0.0,53000.0,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
technical specialist,25-34,computing or tech,34000.0,2000.0,36000.0,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
programming coordinator,25-34,nonprofits,38000.0,0.0,38000.0,United States,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
city research scientist ii,25-34,government and public administration,87000.0,0.0,87000.0,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
project engineer ,35-44,aerospace contracting,122000.0,3600.0,125600.0,United States,Other,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
pricing analyst,25-34,insurance,45000.0,2000.0,58400.98220044584,United Kingdom,Other,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
marketing coordinator,25-34,engineering or manufacturing,45000.0,0.0,45000.0,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
tech writer,35-44,computing or tech,88000.0,0.0,88000.0,United States,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
supervisory archivist,35-44,nonprofits,71000.0,0.0,71000.0,United States,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
program manager,45-54,education (higher education),71000.0,0.0,71000.0,United States,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
high school teacher at an independent school,35-44,education (primary/secondary),75000.0,0.0,75000.0,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
manager of market research and data,35-44,education (higher education),80000.0,0.0,80000.0,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
senior business analyst,35-44,computing or tech,125000.0,0.0,125000.0,United States,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
special collections cataloger,35-44,education (higher education),65000.0,0.0,65000.0,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
graphic designer / webmaster,25-34,nonprofits,55000.0,0.0,55000.0,United States,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
senior ux designer,25-34,art & design,90000.0,1000.0,91000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
senior engineer ,35-44,engineering or manufacturing,105000.0,13000.0,118000.0,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
